Marca temporal,What is your gender? / ¿Cual es tu género?,In which municipality or city did you grow up? / ¿En qué pueblo creciste?,Do you have any disabilities that may affect your learning? /  ¿ Padeces de algun tipo de discapacidad que pueda afectar tu aprendizaje?,What type of schools have you attended? /¿A qué tipo de escuela has ido?,What is your household’s approximate annual income level? (Choose the best estimate.) / ¿Cuál es el nivel aproximado de ingresos anuales de su hogar? (Seleccione la mejor estimación).,Do you receive financial aid or free/reduced lunch at school? / ¿Recibes ayuda financiera o almuerzo gratuito o reducido en la escuela?,"From 1-5, what would you rate your confidence level in math? / Del 1 al 5, ¿cómo calificarías tu nivel de confianza en matemáticas?","From 1-5, what would you rate your confidence level in science? / Del 1 al 5, ¿cómo calificarías tu nivel de confianza en ciencias?","From 1-5, what would you rate your confidence level in music and art subjects? / Del 1 al 5, ¿cómo calificarías tu nivel de confianza en cursos de musica y arte?",Do you feel that your financial background can affect your ability to succeed in STEM subjects? /  ¿Siente que su situación financiera puede afectar su capacidad para tener éxito en las materias STEM?,Do you feel that your financial background can affect your ability to succeed in art subjects?   /  ¿Siente que su situación financiera puede afectar su capacidad para tener éxito en las materias de arte?,Do you feel that gender stereotypes may influence your confidence in STEM subjects? / ¿Sientes que los estereotipos de género pueden influir en su confianza en las materias STEM?   ,Do you feel that gender stereotypes may influence your confidence in art subjects? / ¿Sientes que los estereotipos de género pueden influir en su confianza en las materias de arte?   ,Do you feel that your disability may influence your confidence in STEM subjects? /  ¿Sientes que tu discapacidad puede influir en su confianza en las materias STEM?,Do you feel that your disability may influence your confidence in art subjects? /  ¿Sientes que tu discapacidad puede influir en su confianza en las materias de arte?,Have you ever experienced bias or discrimination related to your gender in STEM classes? /  ¿Alguna vez has experimentado prejuicios o discriminación relacionados con tu género en clases STEM?,Have you ever experienced bias or discrimination related to your gender in art classes? /  ¿Alguna vez has experimentado prejuicios o discriminación relacionados con tu género en clases de arte?,Have you ever experienced bias or discrimination related to your disability in STEM classes? /  ¿Alguna vez has experimentado prejuicios o discriminación relacionados con tu discapacidad en clases de STEM?,Have you ever experienced bias or discrimination related to your disability in art classes? /  ¿Alguna vez has experimentado prejuicios o discriminación relacionados con tu discapacidad en clases de arte?,Have you ever experienced bias or discrimination related to your economic background in STEM classes? /  ¿Alguna vez has experimentado prejuicios o discriminación relacionados con tu situacion economica en clases de STEM?,Have you ever experienced bias or discrimination related to your economic background in art classes? /  ¿Alguna vez has experimentado prejuicios o discriminación relacionados con tu situacion economica en clases de arte?,"Do you have access to resources (tutors, technology) to help you succeed in STEM subjects? /  ¿Tiene acceso a recursos (tutores, tecnología) para ayudarlo a tener éxito en las materias STEM?","Do you have access to resources (tutors, technology) to help you succeed in art subjects? /  ¿Tiene acceso a recursos (tutores, tecnología) para ayudarlo a tener éxito en las materias de arte?",Do you feel supported by teachers and school staff in STEM subjects? /  ¿Te sientes apoyado por los profesores y el personal escolar en las materias STEM?,Do you feel supported by teachers and school staff in art subjects? /  ¿Te sientes apoyado por los profesores y el personal escolar en las materias de arte?,What would help improve your confidence and performance in STEM or art? (Open-ended question)
21/04/2025 16:44:58,Male / Masculino,Florida ,"Sensory impairment (ej., vision or hearing impairment) / Deterioro sensorial (por ejemplo, deterioro visual o auditivo)",Homeschool,"Below $25,000 / Menos de $25,000",No ,1- Very Unconfident / Muy inseguro/insegura,1- Very Unconfident / Muy inseguro/jnsegura,3- Neutral ,3- Somewhat / Un poco,2- Not really / No tanto,"1- No, not at all / No, para nada",2- Not really / No tanto,"1- No, not at all / No, para nada",3- Somewhat / Un poco,"3-  Yes, occasionally / Si, ocasionalmente","4- Yes, frequently / Si, frecuentemente","1- No, not at all / No, para nada","4- Yes, frequently / Si, frecuentemente","1- No, not at all / No, para nada","4- Yes, frequently / Si, frecuentemente","1- No, not at all / No, para nada","4- Yes, always / Si, siempre","1- No, not at all / No, para nada","3-  Yes, sometimes / Si, aveces",money
24/04/2025 9:09:20,Male / Masculino,Caguas,No disability / Ninguna discapacidad,Public / Pública,"Below $25,000 / Menos de $25,000",Yes / Si,5-  Very Confident / Muy seguro/segura,5-  Very Confident / Muy seguro/segura ,4- Somewhat confident / Algo seguro/segura,3- Somewhat / Un poco,"4- Yes, significantly / Si, significativamente",3- Somewhat / Un poco,3- Somewhat / Un poco,"1- No, not at all / No, para nada","1- No, not at all / No, para nada","1- No, not at all / No, para nada","1- No, not at all / No, para nada","1- No, not at all / No, para nada","1- No, not at all / No, para nada","1- No, not at all / No, para nada","1- No, not at all / No, para nada","4- Yes, always / Si, siempre","4- Yes, always / Si, siempre","4- Yes, always / Si, siempre","4- Yes, always / Si, siempre",Me personally would benefit of more practice and hand on learning to improve my confidence on STEM.
1/05/2025 11:42:17,Female / Femenino,Humacao y Peñuelas,No disability / Ninguna discapacidad,Private / Privada,"Below $25,000 / Menos de $25,000",No ,4- Somewhat confident / Algo seguro/segura,3- Neutral ,2- Somewhat Unconfident/ Algo inseguro/insegura,2- Not really / No tanto,"1- No, not at all / No, para nada","1- No, not at all / No, para nada","1- No, not at all / No, para nada","1- No, not at all / No, para nada","1- No, not at all / No, para nada","1- No, not at all / No, para nada","1- No, not at all / No, para nada","1- No, not at all / No, para nada","1- No, not at all / No, para nada","1- No, not at all / No, para nada","1- No, not at all / No, para nada","4- Yes, always / Si, siempre","4- Yes, always / Si, siempre","3-  Yes, sometimes / Si, aveces","3-  Yes, sometimes / Si, aveces","Honestamente, mucho estudio y práctica. También, tener personas que sepan sobre ambos campos y que puedan ayudar, aumenta mucho la confianza y performance en los campos. ¡Gracias por hacer el cuestionario y hacer este tipo de preguntas! ❤️"
1/05/2025 11:52:37,Female / Femenino,Cabo Rojo,No disability / Ninguna discapacidad,Private / Privada,"$50,000-$75,000",Yes / Si,4- Somewhat confident / Algo seguro/segura,3- Neutral ,1- Very Unconfident / Muy inseguro/jnsegura,2- Not really / No tanto,"1- No, not at all / No, para nada",2- Not really / No tanto,"1- No, not at all / No, para nada","1- No, not at all / No, para nada","1- No, not at all / No, para nada","1- No, not at all / No, para nada","1- No, not at all / No, para nada","1- No, not at all / No, para nada","1- No, not at all / No, para nada","1- No, not at all / No, para nada","1- No, not at all / No, para nada","4- Yes, always / Si, siempre",2- Not really / No tanto,2- Not really / No tanto,"3-  Yes, sometimes / Si, aveces","Honestly not sure, I would say studying enough so that there is no possibility of being unsure of my performance."
1/05/2025 18:50:55,Male / Masculino,Aguadilla,No disability / Ninguna discapacidad,Public / Pública,"Below $25,000 / Menos de $25,000",Prefer not to say / Prefiero no decirlo,3- Neutral,3- Neutral ,3- Neutral ,3- Somewhat / Un poco,"4- Yes, significantly / Si, significativamente",2- Not really / No tanto,2- Not really / No tanto,2- Not really / No tanto,2- Not really / No tanto,"1- No, not at all / No, para nada","1- No, not at all / No, para nada","1- No, not at all / No, para nada",2- Not really / No tanto,2- Not really / No tanto,"3-  Yes, occasionally / Si, ocasionalmente","3-  Yes, sometimes / Si, aveces","3-  Yes, sometimes / Si, aveces","3-  Yes, sometimes / Si, aveces","3-  Yes, sometimes / Si, aveces",N/A
6/05/2025 8:15:52,Prefer not to say / Prefiero no decirlo,Aguadilla,"Learning disability (ej., dyslexia, adhd)  / Discapacidad de Aprendizaje (por ejemplo., dislexia, TDAH)",Public / Pública,None,No ,2- Somewhat Unconfident/ Algo inseguro/insegura,3- Neutral ,1- Very Unconfident / Muy inseguro/jnsegura,2- Not really / No tanto,"1- No, not at all / No, para nada","1- No, not at all / No, para nada","1- No, not at all / No, para nada",3- Somewhat / Un poco,"1- No, not at all / No, para nada","1- No, not at all / No, para nada","1- No, not at all / No, para nada","1- No, not at all / No, para nada","1- No, not at all / No, para nada","1- No, not at all / No, para nada","1- No, not at all / No, para nada","1- No, not at all / No, para nada","1- No, not at all / No, para nada","1- No, not at all / No, para nada","1- No, not at all / No, para nada","I can't say, sorry."
6/05/2025 8:17:05,Male / Masculino,Aguadilla,No disability / Ninguna discapacidad,Public / Pública,Prefer not to say / Prefiero no decirlo,No ,1- Very Unconfident / Muy inseguro/insegura,4- Somewhat confident / Algo seguro/segura,3- Neutral ,3- Somewhat / Un poco,"1- No, not at all / No, para nada",3- Somewhat / Un poco,2- Not really / No tanto,3- Somewhat / Un poco,"1- No, not at all / No, para nada",2- Not really / No tanto,"1- No, not at all / No, para nada",2- Not really / No tanto,"1- No, not at all / No, para nada","1- No, not at all / No, para nada","1- No, not at all / No, para nada","1- No, not at all / No, para nada","1- No, not at all / No, para nada","1- No, not at all / No, para nada","1- No, not at all / No, para nada",No se
6/05/2025 8:17:25,Male / Masculino,Mayaguez,Physical disability / Discapacidad Fisica,Public / Pública,"$75,000-$100,000",Yes / Si,4- Somewhat confident / Algo seguro/segura,4- Somewhat confident / Algo seguro/segura,4- Somewhat confident / Algo seguro/segura,2- Not really / No tanto,"4- Yes, significantly / Si, significativamente",3- Somewhat / Un poco,"1- No, not at all / No, para nada",2- Not really / No tanto,"4- Yes, significantly / Si, significativamente","4- Yes, frequently / Si, frecuentemente","3-  Yes, occasionally / Si, ocasionalmente",2- Not really / No tanto,2- Not really / No tanto,"3-  Yes, occasionally / Si, ocasionalmente","3-  Yes, occasionally / Si, ocasionalmente","4- Yes, always / Si, siempre","4- Yes, always / Si, siempre","1- No, not at all / No, para nada",2- Not really / No tanto,No se 
6/05/2025 8:18:23,Male / Masculino,Aguadilla,No disability / Ninguna discapacidad,Public / Pública,Prefer not to say / Prefiero no decirlo,Prefer not to say / Prefiero no decirlo,5-  Very Confident / Muy seguro/segura,2- Somewhat Unconfident/ Algo inseguro/insegura,3- Neutral ,3- Somewhat / Un poco,2- Not really / No tanto,"1- No, not at all / No, para nada","1- No, not at all / No, para nada","1- No, not at all / No, para nada","1- No, not at all / No, para nada","1- No, not at all / No, para nada","1- No, not at all / No, para nada","1- No, not at all / No, para nada","1- No, not at all / No, para nada","1- No, not at all / No, para nada","1- No, not at all / No, para nada","3-  Yes, sometimes / Si, aveces",2- Not really / No tanto,"3-  Yes, sometimes / Si, aveces","3-  Yes, sometimes / Si, aveces",Nose
6/05/2025 8:18:47,Male / Masculino,Aguadilla ,No disability / Ninguna discapacidad,Public / Pública,Prefer not to say / Prefiero no decirlo,Prefer not to say / Prefiero no decirlo,4- Somewhat confident / Algo seguro/segura,2- Somewhat Unconfident/ Algo inseguro/insegura,2- Somewhat Unconfident/ Algo inseguro/insegura,2- Not really / No tanto,3- Somewhat / Un poco,3- Somewhat / Un poco,3- Somewhat / Un poco,3- Somewhat / Un poco,3- Somewhat / Un poco,"1- No, not at all / No, para nada","1- No, not at all / No, para nada","1- No, not at all / No, para nada","1- No, not at all / No, para nada","1- No, not at all / No, para nada","1- No, not at all / No, para nada",2- Not really / No tanto,"3-  Yes, sometimes / Si, aveces","3-  Yes, sometimes / Si, aveces",2- Not really / No tanto,No se
